自助重复号,效应名称,Y浓度变化,收敛,拟合警告
1,孕周由12周增至20周,0.010352826007,1,The MLE may be on the boundary of the parameter space.
1,孕周由12周增至24周,0.0381687229844,1,The MLE may be on the boundary of the parameter space.
1,妇间平均BMI增加1单位,-0.00209407483593,1,The MLE may be on the boundary of the parameter space.
1,同一孕妇BMI相对本人均值增加1单位,-0.0013734397995,1,The MLE may be on the boundary of the parameter space.
2,孕周由12周增至20周,0.0133547463531,1,The MLE may be on the boundary of the parameter space.
2,孕周由12周增至24周,0.0471584601569,1,The MLE may be on the boundary of the parameter space.
2,妇间平均BMI增加1单位,-0.00145012006628,1,The MLE may be on the boundary of the parameter space.
2,同一孕妇BMI相对本人均值增加1单位,-0.00103562911284,1,The MLE may be on the boundary of the parameter space.
3,孕周由12周增至20周,0.0124784584646,1,The MLE may be on the boundary of the parameter space.
3,孕周由12周增至24周,0.0376888272205,1,The MLE may be on the boundary of the parameter space.
3,妇间平均BMI增加1单位,-0.00132448953565,1,The MLE may be on the boundary of the parameter space.
3,同一孕妇BMI相对本人均值增加1单位,-0.00215055111547,1,The MLE may be on the boundary of the parameter space.
4,孕周由12周增至20周,0.00927958441103,1,The MLE may be on the boundary of the parameter space.
4,孕周由12周增至24周,0.0356417848181,1,The MLE may be on the boundary of the parameter space.
4,妇间平均BMI增加1单位,-0.00108764044656,1,The MLE may be on the boundary of the parameter space.
4,同一孕妇BMI相对本人均值增加1单位,3.97643833367e-05,1,The MLE may be on the boundary of the parameter space.
5,孕周由12周增至20周,0.0148692428894,1,The MLE may be on the boundary of the parameter space.
5,孕周由12周增至24周,0.0435254288228,1,The MLE may be on the boundary of the parameter space.
5,妇间平均BMI增加1单位,-0.00160003757186,1,The MLE may be on the boundary of the parameter space.
5,同一孕妇BMI相对本人均值增加1单位,-0.00202165816552,1,The MLE may be on the boundary of the parameter space.
6,孕周由12周增至20周,0.0109519040226,1,The MLE may be on the boundary of the parameter space. | lbfgs失败:LinAlgError:Singular matrix
6,孕周由12周增至24周,0.0394224078072,1,The MLE may be on the boundary of the parameter space. | lbfgs失败:LinAlgError:Singular matrix
6,妇间平均BMI增加1单位,-0.00225423799824,1,The MLE may be on the boundary of the parameter space. | lbfgs失败:LinAlgError:Singular matrix
6,同一孕妇BMI相对本人均值增加1单位,-0.00158952374892,1,The MLE may be on the boundary of the parameter space. | lbfgs失败:LinAlgError:Singular matrix
7,孕周由12周增至20周,0.0116050394593,1,The MLE may be on the boundary of the parameter space.
7,孕周由12周增至24周,0.0396664677815,1,The MLE may be on the boundary of the parameter space.
7,妇间平均BMI增加1单位,-0.000996244914244,1,The MLE may be on the boundary of the parameter space.
7,同一孕妇BMI相对本人均值增加1单位,-0.00432061378583,1,The MLE may be on the boundary of the parameter space.
8,孕周由12周增至20周,0.00892220212381,1,The MLE may be on the boundary of the parameter space. | lbfgs失败:LinAlgError:Singular matrix
8,孕周由12周增至24周,0.0333653025111,1,The MLE may be on the boundary of the parameter space. | lbfgs失败:LinAlgError:Singular matrix
8,妇间平均BMI增加1单位,-0.00135568627555,1,The MLE may be on the boundary of the parameter space. | lbfgs失败:LinAlgError:Singular matrix
8,同一孕妇BMI相对本人均值增加1单位,-0.00275317316391,1,The MLE may be on the boundary of the parameter space. | lbfgs失败:LinAlgError:Singular matrix
9,孕周由12周增至20周,0.0157404697199,1,The MLE may be on the boundary of the parameter space.
9,孕周由12周增至24周,0.0461397230107,1,The MLE may be on the boundary of the parameter space.
9,妇间平均BMI增加1单位,-0.00199433402661,1,The MLE may be on the boundary of the parameter space.
9,同一孕妇BMI相对本人均值增加1单位,-0.00402115382888,1,The MLE may be on the boundary of the parameter space.
10,孕周由12周增至20周,0.0144410605628,1,The MLE may be on the boundary of the parameter space.
10,孕周由12周增至24周,0.0381777815253,1,The MLE may be on the boundary of the parameter space.
10,妇间平均BMI增加1单位,-0.00198653562279,1,The MLE may be on the boundary of the parameter space.
10,同一孕妇BMI相对本人均值增加1单位,-0.000953185464943,1,The MLE may be on the boundary of the parameter space.
11,孕周由12周增至20周,0.0165155485875,1,The MLE may be on the boundary of the parameter space.
11,孕周由12周增至24周,0.0447502148418,1,The MLE may be on the boundary of the parameter space.
11,妇间平均BMI增加1单位,-0.00214035353394,1,The MLE may be on the boundary of the parameter space.
11,同一孕妇BMI相对本人均值增加1单位,-0.00599406291909,1,The MLE may be on the boundary of the parameter space.
12,孕周由12周增至20周,0.0122157201589,1,The MLE may be on the boundary of the parameter space.
12,孕周由12周增至24周,0.0361807688798,1,The MLE may be on the boundary of the parameter space.
12,妇间平均BMI增加1单位,-0.00107841605982,1,The MLE may be on the boundary of the parameter space.
12,同一孕妇BMI相对本人均值增加1单位,0.000197667586355,1,The MLE may be on the boundary of the parameter space.
13,孕周由12周增至20周,0.0152623596552,1,The MLE may be on the boundary of the parameter space.
13,孕周由12周增至24周,0.0391048780205,1,The MLE may be on the boundary of the parameter space.
13,妇间平均BMI增加1单位,-0.00161177623731,1,The MLE may be on the boundary of the parameter space.
13,同一孕妇BMI相对本人均值增加1单位,-0.00181474873413,1,The MLE may be on the boundary of the parameter space.
14,孕周由12周增至20周,0.0125062455268,1,The MLE may be on the boundary of the parameter space.
14,孕周由12周增至24周,0.0440344234939,1,The MLE may be on the boundary of the parameter space.
14,妇间平均BMI增加1单位,-0.00210435473873,1,The MLE may be on the boundary of the parameter space.
14,同一孕妇BMI相对本人均值增加1单位,-0.00355162290055,1,The MLE may be on the boundary of the parameter space.
15,孕周由12周增至20周,0.0125324665546,1,The MLE may be on the boundary of the parameter space.
15,孕周由12周增至24周,0.0434873108309,1,The MLE may be on the boundary of the parameter space.
15,妇间平均BMI增加1单位,-0.00246503885474,1,The MLE may be on the boundary of the parameter space.
